Label,LarvalRecords.LarvaID,CollectionEvent,RackNo,Species,LarvaePhoto,LarvaEthanolLength,LarvaLength,KnownAge,CollectedBy,LarvalRecords.Comments,Calculated Age,Delta13C,Delta15N,CNRatio,BodyWeight,SourceLarvae,LarvalRecords.CreatedDate,LarvalRecords.PlateID,LarvalRecords.Row,LarvalRecords.Column,LarvalRecords.NestID,LarvalOtoliths.LarvaID,OtolithCount,Otolith1Length,Otolith1Width,Otolith1Photo,PatsLength,Ratio1,Otolith1Rings,Otolith2Length,Otolith2Width,Otolith2Photo,Ratio2,Otolith2Rings,AblationSlide,AblationSlideColumn,AblationSlideRow,AblationCentralityScore,MeanOtolithLength,LarvalOtoliths.Comments,MeanDailyIncrements,LarvalOtoliths.CreatedDate,OLEstimateAge,Larva Collection.ID,Set Date,Net,Set Time,Set Flow Rotor Count,Set 30 Seconds Count,Set Rotor Delta,Water Temperature on Set,Water Temperature on Pull,Pull Time,Pull Flow Rotor Count,Pull 30 sec Rotor Count,Pull Rotor Delta,Larva Collection.Comments,Examined,Larvae Found,Cod Confirmed,Larvae Comments,Weather,cSettime,cPulltime,Soak Time,Pull Date,Larva Collection.Source,Depth (m),Total Rotor Delta,Delta per Hour,Average set and pull 30 sec delta,Av rotor if over whole soak time,Maccullochella larvae,Perca larvae,Cyprinus larvae,Other species,Location,SoakHours,OrigTotalRotor,YearOnly,Day of Year,Larva Collection.CreatedDate,SiteName,ACFlowAndWQ.ID,Datetime,ACFlowAndWQ.Station,DischargeMean,WaterTempMean,pH Instantaneous,TurbidityMean,DOInstantaneous,Sites.ID,RiverName,RiverSystemPart,Segment,Site Name,Latitude,Longitude,GPS Coordinates,new Latitude,new Longitude,X,Y,Elevation (m) from DEM,Distance from source (m),Distance to Angle Crossing (m),Distance_old,Sites.Source,AKA,Type,Slope,Width,Depth,Description,Fishing Access,Seg,Field0,ageOL,hatchDoY,incubTime,spawnDoY,Genetics.PlateID,Genetics.Row,Genetics.Column,raceCladeName,raceCladeNumber,CladeName,cladeNumber,cladeGoTName,Genetics.NestID,NestGoTName,Sibling,SiblingIDs,Genetics.Comments,Genetics.CreatedDate,nestMother
B20111124-117,117,703,F8,,C:\DBImages\Larva\117.jpg,12.058,12.5065576,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,F,8.00,,117,2,340,270,C:\DBImages\O1\O1_0117.jpg,330,1.26,7,330,245,C:\DBImages\O2\O2B_0011.jpg,1.35,4,B,1,B,3,335,,5.5,02-Dec-13,19.85,703,24-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,24/11/2011 17:30,25/11/2011 10:00,16:30,25-Nov-11,,,,,,,22,,,,Bullen Range,16.5,,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,19.8511873,308.1488127,7.870937,300.2778757,,,,,,,,,,,,,,,
B20111124-118,118,703,F9,,C:\DBImages\Larva\118.jpg,10.192,10.5711424,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,F,9.00,,118,2,220,185,C:\DBImages\O1\O1_0118.jpg,220,1.19,6,240,170,C:\DBImages\O2\O2B_0012.jpg,1.41,5,B,2,B,4.5,230,,5.5,02-Dec-13,13.64,703,24-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,24/11/2011 17:30,25/11/2011 10:00,16:30,25-Nov-11,,,,,,,22,,,,Bullen Range,16.5,,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,13.6395553,314.3604447,7.870937,306.4895077,,,,,,,,,,,,,,,
B20111124-119,119,703,F10,,C:\DBImages\Larva\119.jpg,9.507,9.8606604,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,F,10.00,,119,2,280,220,C:\DBImages\O1\O1_0119.jpg,265,1.27,,290,200,C:\DBImages\O2\O2B_0013.jpg,1.45,,B,3,B,2,285,,,02-Dec-13,16.89,703,24-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,24/11/2011 17:30,25/11/2011 10:00,16:30,25-Nov-11,,,,,,,22,,,,Bullen Range,16.5,,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,16.8932673,311.1067327,7.870937,303.2357957,,,,,,,,,,,,,,,
B20111124-120,120,703,F11,,C:\DBImages\Larva\120.jpg,11,11.4092,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,F,11.00,,120,2,270,205,C:\DBImages\O1\O1_0120.jpg,250,1.32,,260,190,C:\DBImages\O2\O2B_0014.jpg,1.37,4,B,4,B,3.5,265,,,02-Dec-13,15.71,703,24-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,24/11/2011 17:30,25/11/2011 10:00,16:30,25-Nov-11,,,,,,,22,,,,Bullen Range,16.5,,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,15.7100993,312.2899007,7.870937,304.4189637,,,,,,,,,,,,,,,
B20111124-121,121,703,F12,,C:\DBImages\Larva\121.jpg,11.255,11.673686,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,F,12.00,,121,2,250,205,C:\DBImages\O1\O1_0121.jpg,290,1.22,,270,210,C:\DBImages\O2\O2B_0015.jpg,1.29,3,B,5,B,4,260,,,02-Dec-13,15.41,703,24-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,24/11/2011 17:30,25/11/2011 10:00,16:30,25-Nov-11,,,,,,,22,,,,Bullen Range,16.5,,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,15.4143073,312.5856927,7.870937,304.7147557,,,,,,,,,,,,,,,
B20111124-122,122,705,G12,,C:\DBImages\Larva\122.jpg,10.828,11.2308016,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,12.00,,122,2,290,235,C:\DBImages\O1\O1_0122.jpg,290,1.23,,280,195,C:\DBImages\O2\O2B_0016.jpg,1.44,5,B,7,B,5,285,,,02-Dec-13,16.89,705,24-Nov-11,Drift net 5,00-Jan-00,990074,,,,,00-Jan-00,,1090003,,99928,FALSE,FALSE,FALSE,,,24/11/2011 18:00,25/11/2011 9:30,15:30,25-Nov-11,,,99929,6661.933333,,,9,,,,Bullen Range,15.5,-900071,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,16.8932673,311.1067327,7.870937,303.2357957,,,,,,,,,,,,,,,
B20111124-123,123,705,G11,,C:\DBImages\Larva\123.jpg,10.877,11.2816244,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,11.00,,123,2,300,205,C:\DBImages\O1\O1_0123.jpg,275,1.46,5,290,200,C:\DBImages\O2\O2B_0017.jpg,1.45,3,B,8,B,3,295,,4,02-Dec-13,17.48,705,24-Nov-11,Drift net 5,00-Jan-00,990074,,,,,00-Jan-00,,1090003,,99928,FALSE,FALSE,FALSE,,,24/11/2011 18:00,25/11/2011 9:30,15:30,25-Nov-11,,,99929,6661.933333,,,9,,,,Bullen Range,15.5,-900071,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,17.4848513,310.5151487,7.870937,302.6442117,,,,,,,,,,,,,,,
B20111124-124,124,705,G10,,C:\DBImages\Larva\124.jpg,11.256,11.6747232,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,10.00,,124,2,350,255,C:\DBImages\O1\O1_0124.jpg,325,1.37,,360,230,C:\DBImages\O2\O2B_0018.jpg,1.57,7,B,9,B,3.5,355, (remeasured 6/8/14),,02-Dec-13,21.03,705,24-Nov-11,Drift net 5,00-Jan-00,990074,,,,,00-Jan-00,,1090003,,99928,FALSE,FALSE,FALSE,,,24/11/2011 18:00,25/11/2011 9:30,15:30,25-Nov-11,,,99929,6661.933333,,,9,,,,Bullen Range,15.5,-900071,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,21.0343553,306.9656447,7.870937,299.0947077,,,,,,,,,,,,,,,
B20111124-125,125,705,G9,,C:\DBImages\Larva\125.jpg,11.06,11.471432,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,9.00,,125,2,270,225,C:\DBImages\O1\O1_0125.jpg,275,1.20,,290,195,C:\DBImages\O2\O2B_0019.jpg,1.49,,B,10,B,5,280,,,02-Dec-13,16.60,705,24-Nov-11,Drift net 5,00-Jan-00,990074,,,,,00-Jan-00,,1090003,,99928,FALSE,FALSE,FALSE,,,24/11/2011 18:00,25/11/2011 9:30,15:30,25-Nov-11,,,99929,6661.933333,,,9,,,,Bullen Range,15.5,-900071,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,16.5974753,311.4025247,7.870937,303.5315877,,,,,,,,,,,,,,,
B20111124-126,126,705,G8,,C:\DBImages\Larva\126-Copy.jpg,10.502,10.8926744,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,9.00,,126,2,270,200,C:\DBImages\O1\O1_0126.jpg,250,1.35,7,280,185,C:\DBImages\O2\O2B_0020.jpg,1.51,4,B,11,B,4.5,275,,5.5,02-Dec-13,16.30,705,24-Nov-11,Drift net 5,00-Jan-00,990074,,,,,00-Jan-00,,1090003,,99928,FALSE,FALSE,FALSE,,,24/11/2011 18:00,25/11/2011 9:30,15:30,25-Nov-11,,,99929,6661.933333,,,9,,,,Bullen Range,15.5,-900071,2011,328,,Bullen Range,328,24-Nov-11,Angle Crossing,279.005,19.189,8.18,28.097,90.9,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,16.3016833,311.6983167,7.870937,303.8273797,,,,,,,,,,,,,,,
T20111129-127,127,709,G7,,C:\DBImages\Larva\127.jpg,10.283,10.6655276,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,7.00,,127,2,280,190,C:\DBImages\O1\O1_0127.jpg,275,1.47,,260,200,C:\DBImages\O2\O2B_0021.jpg,1.30,,B,1,C,4,270,,,02-Dec-13,16.01,709,29-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,29/11/2011 17:00,30/11/2011 10:00,17:00,30-Nov-11,,,,,,,5,,2,,Tharwa Sandwash,17,,2011,333,,Tharwa Sandwash,333,29-Nov-11,Angle Crossing,1370.029,20.996,7.5,65.634,91.3,1,Murrumbidgee,,,Tharwa Sandwash,-35.525461,149.076692,"S35°31'31.66"", E149°04'36.09""",-35.527096,149.07622,688249.0455,6066518.972,570.7,226516.4,8343.7,8413,M2G Project Information Document,Tharwa,Sample,0.08,33,3.5,"Low gradient, confined valley with floodplain pockets",1,8,Angle Crossing,16.0058913,316.9941087,6.665668,310.3284407,,,,,,,,,,,,,,,
T20111129-128,128,709,G6,,C:\DBImages\Larva\128.jpg,10.36,10.745392,,Anu Datta,species proof necessary (silver eyes),,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,6.00,,128,2,290,235,C:\DBImages\O1\O1_0128.jpg,285,1.23,,290,225,C:\DBImages\O2\O2B_0022.jpg,1.29,5,B,2,C,5,290,species proof necessary (silver eyes),,02-Dec-13,17.19,709,29-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,29/11/2011 17:00,30/11/2011 10:00,17:00,30-Nov-11,,,,,,,5,,2,,Tharwa Sandwash,17,,2011,333,,Tharwa Sandwash,333,29-Nov-11,Angle Crossing,1370.029,20.996,7.5,65.634,91.3,1,Murrumbidgee,,,Tharwa Sandwash,-35.525461,149.076692,"S35°31'31.66"", E149°04'36.09""",-35.527096,149.07622,688249.0455,6066518.972,570.7,226516.4,8343.7,8413,M2G Project Information Document,Tharwa,Sample,0.08,33,3.5,"Low gradient, confined valley with floodplain pockets",1,8,Angle Crossing,17.1890593,315.8109407,6.665668,309.1452727,,,,,,,,,,,,,,,
T20111129-129,129,709,G5,,C:\DBImages\Larva\129.jpg,12.353,12.8125316,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,5.00,,129,2,410,290,C:\DBImages\O1\O1_0129.jpg,,1.41,10,400,285,C:\DBImages\O2\O2B_0023.jpg,1.40,3,B,3,C,5,405, (remeasured 6/8/14),6.5,02-Dec-13,23.99,709,29-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,29/11/2011 17:00,30/11/2011 10:00,17:00,30-Nov-11,,,,,,,5,,2,,Tharwa Sandwash,17,,2011,333,,Tharwa Sandwash,333,29-Nov-11,Angle Crossing,1370.029,20.996,7.5,65.634,91.3,1,Murrumbidgee,,,Tharwa Sandwash,-35.525461,149.076692,"S35°31'31.66"", E149°04'36.09""",-35.527096,149.07622,688249.0455,6066518.972,570.7,226516.4,8343.7,8413,M2G Project Information Document,Tharwa,Sample,0.08,33,3.5,"Low gradient, confined valley with floodplain pockets",1,8,Angle Crossing,23.9922753,309.0077247,6.665668,302.3420567,,,,,,,,,,,,,,,
T20111129-130,130,709,G4,,C:\DBImages\Larva\130.jpg,11.13,11.544036,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,4.00,,130,2,310,260,C:\DBImages\O1\O1_0130.jpg,260,1.19,,310,210,C:\DBImages\O2\O2B_0024.jpg,1.48,,B,4,C,5,310,,,02-Dec-13,18.37,709,29-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,29/11/2011 17:00,30/11/2011 10:00,17:00,30-Nov-11,,,,,,,5,,2,,Tharwa Sandwash,17,,2011,333,,Tharwa Sandwash,333,29-Nov-11,Angle Crossing,1370.029,20.996,7.5,65.634,91.3,1,Murrumbidgee,,,Tharwa Sandwash,-35.525461,149.076692,"S35°31'31.66"", E149°04'36.09""",-35.527096,149.07622,688249.0455,6066518.972,570.7,226516.4,8343.7,8413,M2G Project Information Document,Tharwa,Sample,0.08,33,3.5,"Low gradient, confined valley with floodplain pockets",1,8,Angle Crossing,18.3722273,314.6277727,6.665668,307.9621047,,,,,,,,,,,,,,,
T20111129-131,131,709,G3,,C:\DBImages\Larva\131.jpg,9.637,9.9954964,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,3.00,,131,2,290,200,C:\DBImages\O1\O1_0131.jpg,275,1.45,,280,215,C:\DBImages\O2\O2B_0025.jpg,1.30,3,B,5,C,5,285,,,02-Dec-13,16.89,709,29-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,29/11/2011 17:00,30/11/2011 10:00,17:00,30-Nov-11,,,,,,,5,,2,,Tharwa Sandwash,17,,2011,333,,Tharwa Sandwash,333,29-Nov-11,Angle Crossing,1370.029,20.996,7.5,65.634,91.3,1,Murrumbidgee,,,Tharwa Sandwash,-35.525461,149.076692,"S35°31'31.66"", E149°04'36.09""",-35.527096,149.07622,688249.0455,6066518.972,570.7,226516.4,8343.7,8413,M2G Project Information Document,Tharwa,Sample,0.08,33,3.5,"Low gradient, confined valley with floodplain pockets",1,8,Angle Crossing,16.8932673,316.1067327,6.665668,309.4410647,,,,,,,,,,,,,,,
T20111129-132,132,710,G2,,C:\DBImages\Larva\132.jpg,10.385,10.771322,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,2.00,,132,2,290,210,C:\DBImages\O1\O1_0132.jpg,280,1.38,,290,210,C:\DBImages\O2\O2B_0026.jpg,1.38,,B,6,C,4,290,,,02-Dec-13,17.19,710,29-Nov-11,Drift net 4,00-Jan-00,206335,,,,,00-Jan-00,,1093838,,887502,FALSE,FALSE,FALSE,,,29/11/2011 17:30,30/11/2011 10:00,16:30,30-Nov-11,,,887503,55468.9375,,,1,,,,Tharwa Sandwash,16.5,-112497,2011,333,,Tharwa Sandwash,333,29-Nov-11,Angle Crossing,1370.029,20.996,7.5,65.634,91.3,1,Murrumbidgee,,,Tharwa Sandwash,-35.525461,149.076692,"S35°31'31.66"", E149°04'36.09""",-35.527096,149.07622,688249.0455,6066518.972,570.7,226516.4,8343.7,8413,M2G Project Information Document,Tharwa,Sample,0.08,33,3.5,"Low gradient, confined valley with floodplain pockets",1,8,Angle Crossing,17.1890593,315.8109407,6.665668,309.1452727,,,,,,,,,,,,,,,
L2011125-133,133,715,G1,,C:\DBImages\Larva\133.jpg,10.408,10.7951776,,Anu Datta,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2011A,G,1.00,,133,2,260,195,C:\DBImages\O1\O1_0133.jpg,255,1.33,,270,185,C:\DBImages\O2\O2B_0027.jpg,1.46,,B,7,C,4.5,265,,,02-Dec-13,15.71,715,05-Dec-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,5/12/2011 18:00,6/12/2011 10:00,16:00,06-Dec-11,,,,,,,1,,,,Lanyon,16,,2011,339,,Lanyon,339,05-Dec-11,Angle Crossing,2141.819,17.439,7.47,,,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,15.7100993,323.2899007,9.038187,314.2517137,,,,,,,,,,,,,,,
B20121126-134,134,548,A1,,C:\DBImages\Larva\134.jpg,9.688,10.0483936,,Alan Couch,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2012A,A,1.00,,134,2,250,205,C:\DBImages\O1\O1_0134.jpg,255,1.22,,250,200,C:\DBImages\O2\O2B_0028.jpg,1.25,5,B,1,D,4,250,,,02-Dec-13,14.82,548,26-Nov-12,Drift net 4,00-Jan-00,62000,62550,550,,,00-Jan-00,243744,243808,64,,FALSE,FALSE,FALSE,,Sunny,26/11/2012 15:25,27/11/2012 10:16,18:51,27-Nov-12,Datasheet,0.9,181808,10100.44444,307,694434,1,,,,Bullen Range,18.85,181808,2012,331,,Bullen Range,619,26-Nov-12,Angle Crossing,340.586,22.609,8.216,108.468,93.207,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,14.8227233,316.1772767,5.589797,310.5874797,,,,,,,,,,,,,,,
M20121121-135,135,556,A2,,C:\DBImages\Larva\135.jpg,8.94,9.272568,,Alan Couch,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2012A,A,2.00,,135,2,240,205,C:\DBImages\O1\O1_0135.jpg,260,1.17,7,260,200,C:\DBImages\O2\O2B_0029.jpg,1.30,,B,2,D,5,250,,7,02-Dec-13,14.82,556,21-Nov-12,Eel net,00-Jan-00,,,,21.40,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,Sunny,21/11/2012 15:55,22/11/2012 9:40,17:45,22-Nov-12,Datasheet,1.3,,,,,4,,,,Murramore,17.75,,2012,326,,Murramore,1215,21-Nov-12,Angle Crossing,368.958,19.35,8.256,8.269,94.991,3,Murrumbidgee,,,Murramore,-35.438889,149.070925,"S35°26’20.00”, E149°04’15.33”",-35.43879611,149.0715458,688030.8547,6076313.781,570.5,227290.7,20813.6,21379,M2G Project Information Document,,Sample,0.37,41,6.5,"Low gradient, confined valley with floodplain pockets",6,21,Angle Crossing,14.8227233,311.1772767,7.76355,303.4137267,,,,,,,,,,,,,,,
M20121121-136,136,556,A3,,C:\DBImages\Larva\136.jpg,9.221,9.5640212,,Alan Couch,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2012A,A,3.00,,136,2,240,185,C:\DBImages\O1\O1_0136.jpg,220,1.30,,230,195,C:\DBImages\O2\O2B_0030.jpg,1.18,,B,3,D,3.5,235,,,02-Dec-13,13.94,556,21-Nov-12,Eel net,00-Jan-00,,,,21.40,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,Sunny,21/11/2012 15:55,22/11/2012 9:40,17:45,22-Nov-12,Datasheet,1.3,,,,,4,,,,Murramore,17.75,,2012,326,,Murramore,1215,21-Nov-12,Angle Crossing,368.958,19.35,8.256,8.269,94.991,3,Murrumbidgee,,,Murramore,-35.438889,149.070925,"S35°26’20.00”, E149°04’15.33”",-35.43879611,149.0715458,688030.8547,6076313.781,570.5,227290.7,20813.6,21379,M2G Project Information Document,,Sample,0.37,41,6.5,"Low gradient, confined valley with floodplain pockets",6,21,Angle Crossing,13.9353473,312.0646527,7.76355,304.3011027,,,,,,,,,,,,,,,
M20121121-137,137,556,A4,,C:\DBImages\Larva\137.jpg,9.106,9.4447432,,Alan Couch,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2012A,A,4.00,,137,2,180,165,C:\DBImages\O1\O1_0137.jpg,200,1.09,6,210,140,C:\DBImages\O2\O2B_0031.jpg,1.50,,B,4,D,4,195,,6,02-Dec-13,11.57,556,21-Nov-12,Eel net,00-Jan-00,,,,21.40,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,Sunny,21/11/2012 15:55,22/11/2012 9:40,17:45,22-Nov-12,Datasheet,1.3,,,,,4,,,,Murramore,17.75,,2012,326,,Murramore,1215,21-Nov-12,Angle Crossing,368.958,19.35,8.256,8.269,94.991,3,Murrumbidgee,,,Murramore,-35.438889,149.070925,"S35°26’20.00”, E149°04’15.33”",-35.43879611,149.0715458,688030.8547,6076313.781,570.5,227290.7,20813.6,21379,M2G Project Information Document,,Sample,0.37,41,6.5,"Low gradient, confined valley with floodplain pockets",6,21,Angle Crossing,11.5690113,314.4309887,7.76355,306.6674387,,,,,,,,,,,,,,,
M20121121-138,138,556,A5,,C:\DBImages\Larva\138.jpg,9.148,9.4883056,,Alan Couch,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2012A,A,5.00,,138,2,260,200,C:\DBImages\O1\O1_0138.jpg,255,1.30,7,275,195,C:\DBImages\O2\O2B_0032.jpg,1.41,4,B,5,D,3.5,267.5,,5.5,02-Dec-13,15.86,556,21-Nov-12,Eel net,00-Jan-00,,,,21.40,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,Sunny,21/11/2012 15:55,22/11/2012 9:40,17:45,22-Nov-12,Datasheet,1.3,,,,,4,,,,Murramore,17.75,,2012,326,,Murramore,1215,21-Nov-12,Angle Crossing,368.958,19.35,8.256,8.269,94.991,3,Murrumbidgee,,,Murramore,-35.438889,149.070925,"S35°26’20.00”, E149°04’15.33”",-35.43879611,149.0715458,688030.8547,6076313.781,570.5,227290.7,20813.6,21379,M2G Project Information Document,,Sample,0.37,41,6.5,"Low gradient, confined valley with floodplain pockets",6,21,Angle Crossing,15.8579953,310.1420047,7.76355,302.3784547,,,,,,,,,,,,,,,
L20121120-139,139,559,A6,,C:\DBImages\Larva\139.jpg,8.932,9.2642704,,Alan Couch,,,,,,,Wild caught Murrumbidgee,02-Dec-13,2012A,A,6.00,,139,2,290,205,C:\DBImages\O1\O1_0139.jpg,290,1.41,,290,230,C:\DBImages\O2\O2B_0033.jpg,1.26,8,B,6,D,3.5,290,,,02-Dec-13,17.19,559,20-Nov-12,Eel net,00-Jan-00,,,,21.50,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,Sunny,20/11/2012 16:08,21/11/2012 9:43,17:35,21-Nov-12,Datasheet,1,,,,,4,,,,Lanyon,17.58333333,,2012,325,,Lanyon,1214,20-Nov-12,Angle Crossing,377.904,19.008,8.152,7.067,93.06,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,17.1890593,307.8109407,7.991664,299.8192767,,,,,,,,,,,,,,,
